geoid,Data File Year,STATE,STATEA,COUNTY,County_Code,CensusTractCode,BlockGroupCode,Estimates: Area Name,Total_Population,White_pop,Black_pop, AmericanIndian_pop,Asian_pop,PacificIslander_pop,OtherRace_pop,EduTotal,Edu_8thGrade,Edu_HighSchoolOrGED,Edu_AssociateDegree,Edu_BachelorDegree,Edu_MasterDegree,Edu_ProfDegree,Edu_DoctorateDegree,Median_HH_Income,PerCapita_Income,Workers_Total,Worked_past_year,Worked_FT_past_year,Did_Not_Work
17003107104002,2006-2010,Illinois,17,Cook County,31,710400,2,"Block Group 2, Census Tract 7104, Cook County, Illinois",1182,0,1151,0,17,0,0,775,70,317,0,46,18,0,0,40625,16359,761,560,512,201
17003107104003,2006-2010,Illinois,17,Cook County,31,710400,3,"Block Group 3, Census Tract 7104, Cook County, Illinois",957,0,957,0,0,0,0,476,0,138,0,0,0,0,0,16474,10760,484,295,190,189
17003107104004,2006-2010,Illinois,17,Cook County,31,710400,4,"Block Group 4, Census Tract 7104, Cook County, Illinois",534,0,534,0,0,0,0,436,0,158,50,132,0,0,0,36827,21731,345,315,268,30
17003107104005,2006-2010,Illinois,17,Cook County,31,710400,5,"Block Group 5, Census Tract 7104, Cook County, Illinois",1221,0,1221,0,0,0,0,779,14,305,35,45,35,18,0,36406,16832,825,538,432,287
17003107104006,2006-2010,Illinois,17,Cook County,31,710400,6,"Block Group 6, Census Tract 7104, Cook County, Illinois",1033,0,992,0,41,0,0,618,15,183,75,43,24,0,0,52061,17781,663,499,380,164
17003107105001,2006-2010,Illinois,17,Cook County,31,710500,1,"Block Group 1, Census Tract 7105, Cook County, Illinois",1365,0,1365,0,0,0,0,808,49,277,11,23,0,0,0,20361,13513,822,520,375,302
17003107105002,2006-2010,Illinois,17,Cook County,31,710500,2,"Block Group 2, Census Tract 7105, Cook County, Illinois",1472,0,1472,0,0,0,0,941,25,309,112,72,0,0,0,21531,10720,1031,606,396,425
17003107105003,2006-2010,Illinois,17,Cook County,31,710500,3,"Block Group 3, Census Tract 7105, Cook County, Illinois",682,0,682,0,0,0,0,430,20,153,12,54,0,0,0,31406,24073,494,315,216,179
17003107105004,2006-2010,Illinois,17,Cook County,31,710500,4,"Block Group 4, Census Tract 7105, Cook County, Illinois",1054,0,1036,0,0,0,0,694,0,194,37,128,40,0,37,57344,27283,678,521,492,157
17003107106001,2006-2010,Illinois,17,Cook County,31,710600,1,"Block Group 1, Census Tract 7106, Cook County, Illinois",1305,0,1305,0,0,0,0,627,0,234,30,26,12,16,0,20543,10500,714,464,279,250
